name,code,description,type,codelist
振興山村ID,NA,振興山村指定地域を一意に識別するためのコード,文字列型,FALSE
行政区域コード,NA,都道府県コードと市区町村コードからなる，行政区を特定するためのコード,コードリスト「行政コード」,TRUE
都道府県名,NA,データ整備時点の当該区域を含む都道府県名称,文字列型,FALSE
支庁・振興局名,NA,データ整備時点の当該区域を含む北海道の振興局の名称,文字列型,FALSE
郡・政令都市名,NA,データ整備時点の当該区域を含む郡・政令都市名称,文字列型,FALSE
市区町村名,NA,データ整備時点の市区町村名称,文字列型,FALSE
原典市区町村名,NA,原典資料が作成された時点の当該区域を含む市区町村名称,文字列型,FALSE
合併前市町村名,NA,平成11年3月31日時点の当該区域を含む市区町村名称,文字列型,FALSE
旧市町村名,NA,昭和25年2月1日時点の当該区域を含む市区町村名称,文字列型,FALSE
指定年度,NA,地域が指定された年度（西暦）,時間型（TM_Instant）,FALSE
指定番号,NA,地域指定時に付与された番号,整数型（Integer）,FALSE
